Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
trượt	569	34.7528	517	0.1284	439	36.1175	407	0.0486	638	36.3223	583	0.2050
rỗng	568	34.6917	541	0.1344	164	13.4926	163	0.0194	144	8.1981	140	0.0492
dãy	568	34.6917	491	0.1220	69	5.6768	64	0.0076	394	22.4310	355	0.1248
uyên	567	34.6307	491	0.1220	199	16.3722	185	0.0221	832	47.3670	583	0.2050
khiếu	567	34.6307	471	0.1170	114	9.3790	111	0.0132	1134	64.5604	888	0.3122
ngước	566	34.5696	559	0.1389	41	3.3732	39	0.0047	55	3.1312	54	0.0190
khiêu	566	34.5696	509	0.1265	78	6.4172	78	0.0093	351	19.9830	315	0.1108
bơ	566	34.5696	509	0.1265	1315	108.1879	1227	0.1464	255	14.5175	218	0.0766
sắm	565	34.5085	498	0.1237	309	25.4221	305	0.0364	1458	83.0062	1302	0.4578
nàn	564	34.4474	546	0.1356	125	10.2840	124	0.0148	498	28.3519	489	0.1719
đắn	563	34.3864	545	0.1354	99	8.1449	99	0.0118	495	28.1811	488	0.1716
hao	563	34.3864	470	0.1168	420	34.5543	350	0.0418	379	21.5771	339	0.1192
dán	563	34.3864	525	0.1304	428	35.2125	391	0.0467	499	28.4088	423	0.1487
bổng	563	34.3864	509	0.1265	190	15.6317	184	0.0220	1084	61.7138	869	0.3055
trướng	560	34.2031	510	0.1267	23	1.8923	23	0.0027	97	5.5224	97	0.0341
sủng	560	34.2031	493	0.1225	76	6.2527	75	0.0089	29	1.6510	29	0.0102
